iter	RMSE
0	21.3691715
1	21.24184231
2	21.12256442
3	21.00821073
4	20.90493747
5	20.77292639
6	20.6691061
7	20.54906714
8	20.43948729
9	20.29279368
10	20.14486569
11	20.02912306
12	19.92488822
13	19.82087909
14	19.69122698
15	19.58143227
16	19.46321933
17	19.36483029
18	19.26870866
19	19.17385412
20	19.07765007
21	18.97597448
22	18.86491796
23	18.75277743
24	18.6736882
25	18.5759315
26	18.44783039
27	18.3375328
28	18.24458354
29	18.15080997
30	18.07372969
31	18.0043582
32	17.93575237
33	17.84519471
34	17.74624058
35	17.65774996
36	17.57756139
37	17.48572135
38	17.39400832
39	17.31747585
40	17.23038003
41	17.1853602
42	17.11878525
43	17.06263283
44	16.98143967
45	16.89553161
46	16.81214392
47	16.72922644
48	16.65018828
49	16.57367472
50	16.48216087
51	16.40292621
52	16.32731024
53	16.23507229
54	16.1507598
55	16.06022588
56	15.99208423
57	15.92224315
58	15.86450909
59	15.7774039
60	15.69803403
61	15.62816385
62	15.56195195
63	15.4978215
64	15.42642661
65	15.34666911
66	15.2714592
67	15.20869913
68	15.12104031
69	15.03977898
70	14.96500004
71	14.87313015
72	14.8254167
73	14.77135775
74	14.71860124
75	14.66046533
76	14.6061701
77	14.53784646
78	14.4814147
79	14.42656507
80	14.36014171
81	14.29412649
82	14.25375351
83	14.21750293
84	14.16705279
85	14.10074405
86	14.03504199
