iter	Passed	Remaining
0	8	6747
1	17	6487
2	25	6312
3	33	6325
4	42	6312
5	49	6239
6	57	6182
7	66	6187
8	74	6159
9	82	6165
10	90	6143
11	98	6105
12	106	6090
13	114	6084
14	122	6067
15	131	6094
16	140	6077
17	148	6062
18	156	6055
19	163	6018
20	171	5990
21	179	5974
22	186	5943
23	194	5937
24	202	5916
25	210	5906
26	218	5879
27	226	5872
28	234	5859
29	242	5848
30	249	5835
31	257	5820
32	265	5802
33	272	5787
34	280	5770
35	288	5760
36	296	5744
37	304	5737
38	311	5726
39	320	5721
40	328	5713
41	335	5701
42	343	5692
43	351	5681
44	359	5671
45	367	5656
46	374	5648
47	382	5635
48	389	5618
49	397	5606
50	405	5598
51	413	5590
52	421	5583
53	429	5573
54	437	5565
55	444	5554
56	453	5555
57	462	5555
58	471	5556
59	479	5553
60	487	5542
61	494	5531
62	502	5523
63	510	5516
64	518	5506
65	526	5494
66	534	5488
67	542	5480
68	550	5469
69	558	5461
70	566	5452
71	574	5447
72	582	5437
73	589	5429
74	597	5420
75	607	5424
76	615	5423
77	623	5413
78	631	5407
79	639	5396
80	647	5386
81	655	5377
82	663	5368
83	671	5360
84	678	5351
85	686	5339
86	693	5327
