channelGrouping,city,metro,visitNumber,browser,operatingSystem,isMobile,deviceCategory,campaign,source,medium,hits,pageviews,bounces,newVisits,transactionRevenue,month,quarterMonth,day,weekday,time_range
4,250,0,1,5,9,False,0,0,23,5,1,1,1,1,0.0,9,1,2,32,1
4,295,52,1,5,6,False,0,0,23,5,1,1,1,1,0.0,9,1,2,32,4
1,43,0,1,5,6,False,0,4,3,2,1,1,1,1,0.0,9,1,2,32,3
4,295,52,2,18,11,True,1,0,23,5,1,1,1,0,0.0,9,1,2,32,0
4,295,52,1,18,11,True,1,0,23,5,5,4,0,1,0.0,9,1,2,32,4
4,43,0,1,5,9,False,0,0,23,5,7,5,0,1,0.0,9,1,2,32,4
4,295,52,2,5,9,False,0,0,23,5,19,15,0,0,0.0,9,1,2,32,4
2,295,52,1,5,1,True,2,0,0,0,27,19,0,1,0.0,9,1,2,32,4
4,295,52,3,18,11,True,1,0,23,5,49,32,0,0,0.0,9,1,2,32,0
7,295,52,1,8,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,1
7,259,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,4
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,3
7,295,52,2,5,1,True,1,0,75,6,2,2,0,0,0.0,9,1,2,32,4
2,246,0,7,18,6,False,0,0,0,0,1,1,1,0,0.0,9,1,2,32,1
2,0,0,1,5,5,False,0,0,0,0,1,1,1,1,0.0,9,1,2,32,0
2,43,0,1,5,9,False,0,0,0,0,1,1,1,1,0.0,9,1,2,32,3
2,295,52,1,5,1,True,1,0,0,0,2,2,0,1,0.0,9,1,2,32,0
7,19,0,1,5,9,False,0,0,19,6,3,2,0,1,0.0,9,1,2,32,1
2,117,0,1,5,11,True,1,0,0,0,7,6,0,1,0.0,9,1,2,32,4
2,295,52,1,5,6,False,0,0,0,0,7,7,0,1,0.0,9,1,2,32,4
4,148,26,1,5,1,True,1,0,23,5,1,1,1,1,0.0,9,1,2,32,3
4,295,52,1,18,6,False,0,0,23,5,1,1,1,1,0.0,9,1,2,32,0
4,112,0,1,5,9,False,0,0,23,5,1,1,1,1,0.0,9,1,2,32,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,9,1,2,32,4
4,147,25,1,5,9,False,0,0,23,5,1,1,1,1,0.0,9,1,2,32,4
7,295,52,1,7,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,0
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,3
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,0
7,0,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,4
7,295,52,3,5,1,True,1,0,75,6,1,1,1,0,0.0,9,1,2,32,0
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,1
7,116,0,1,18,6,False,0,0,75,6,2,2,0,1,0.0,9,1,2,32,1
7,218,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,9,1,2,32,1
4,295,52,1,5,9,False,0,0,23,5,25,23,0,1,0.0,1,4,26,178,3
7,295,52,1,5,1,True,1,0,75,6,4,4,0,1,0.0,1,4,26,178,4
3,16,3,1,5,6,False,0,0,16,4,5,5,0,1,0.0,1,4,26,178,3
5,295,52,1,5,1,True,2,3,23,3,5,5,0,1,0.0,1,4,26,178,4
6,295,52,1,5,1,True,1,0,66,6,8,8,0,1,0.0,1,4,26,178,0
2,195,45,3,5,6,False,0,0,0,0,2,1,0,0,0.0,1,4,26,178,4
